userId,itemId,rating,timestamp
3373,8218,2,1643729050
1086,3727,3,1639506285
7295,7073,4,1640184709
9637,9463,3,1621266942
7732,6974,3,1651551132
9350,7031,1,1616557030
5166,3806,5,1648747976
8536,3224,2,1634429329
3777,4977,4,1626597378
5827,1879,5,1630468511
8977,4578,4,1672112534
5590,6877,3,1655274433
9090,2545,4,1634079351
635,2619,3,1613684470
4724,6307,2,1668471210
9177,3237,5,1660070619
2338,5814,1,1644613179
7550,3837,2,1647114891
885,7564,3,1610926311
7362,6147,2,1619981567
1572,5556,1,1664881722
5019,817,1,1672308669
4262,7318,1,1630968403
3836,4138,1,1663767977
8979,3005,3,1661141055
7214,745,4,1609642664
2077,4420,1,1614504817
7150,7574,1,1629149122
836,9188,1,1615521434
3631,5941,3,1667297320
9082,601,3,1615070568
1819,6074,5,1668653706
604,4625,1,1641193924
5743,7182,3,1635637286
1497,5748,1,1629768281
4428,2392,3,1637074965
6033,8388,4,1662765641
1874,8229,5,1625939281
7437,1943,5,1610431215
4953,7495,3,1614580364
9727,2813,3,1621141744
3906,2697,5,1654189143
8827,96,3,1618842184
2119,9576,1,1659217780
6558,2099,5,1614606559
8986,2912,5,1638757510
2616,4229,5,1625606574
3825,5052,1,1665319395
2000,3093,3,1611531938
7258,2144,4,1655002713
5608,4977,5,1622507801
7573,2732,4,1647755587
7529,3465,3,1619149385
1115,7099,4,1647422508
5676,4797,4,1615003961
4350,7588,1,1639601094
3484,6407,4,1655816228
1945,2179,2,1630217674
4596,5065,4,1638578447
7843,1508,5,1615768680
3005,8137,2,1611416509
9989,4803,5,1656560481
489,7382,1,1636735300
4876,3172,3,1659583267
9165,8177,4,1637356236
1146,814,5,1635848744
8233,3066,3,1611590458
8082,4812,1,1636745601
6309,3757,5,1641286087
9870,6729,2,1615059305
1195,3888,5,1617803390
5668,4884,1,1634315892
3223,3652,1,1651676291
8165,1638,4,1653696448
6549,6776,4,1653941182
2215,1369,4,1662850274
4483,1145,1,1627438218
6314,1130,5,1628704737
3222,7533,3,1661922409
5414,3746,3,1661958818
4210,9108,4,1610638144
1778,3640,3,1668338360
1718,3232,2,1618407074
7266,7701,5,1618929344
2399,6690,4,1645145959
8479,690,2,1641531171
2620,2390,3,1647520746
7145,6331,3,1620218936
5323,4007,2,1660083681
1491,8797,2,1667428211
6887,7351,2,1610406453
6525,9745,4,1665624313
7928,1818,2,1623658558
7069,9946,2,1633193775
9434,9499,2,1660669792
5351,5163,2,1665123134
7620,8544,4,1669495671
6428,3044,4,1628479764
6622,5204,4,1612966149
6190,9190,2,1612848503
4359,3064,2,1612551479
2986,3305,2,1633930761
4483,5739,4,1623282054
8997,7003,4,1670443599
9405,4027,3,1610903304
6360,8520,5,1624869366
4801,97,5,1646523233
1538,9333,2,1659510300
1292,578,4,1618362520
2679,4579,1,1639724791
4783,2302,3,1651954766
8479,7339,2,1651733224
4591,147,1,1654032451
5725,6773,4,1670879617
6611,614,1,1615348395
6909,6909,4,1655090420
6129,3724,2,1616922853
553,2504,2,1627525968
8718,3773,5,1664458926
5772,3442,3,1613798604
7138,8386,5,1621252702
4123,9025,3,1645759563
7594,2007,5,1664882359
9233,6848,5,1612466352
2247,8869,4,1667274370
5167,2280,4,1648329962
2846,8523,4,1641047365
4261,5507,2,1654605266
3436,5460,2,1627604240
6171,3400,1,1619985918
975,1697,2,1663781423
1511,1465,3,1619189764
174,6986,3,1646035366
8831,7267,4,1610088885
7736,4724,1,1621138527
9284,5013,5,1664508786
6457,7833,2,1636423402
8352,5670,1,1628490452
6518,3489,1,1614830978
3665,5129,3,1631277779
3911,2739,4,1657435077
6773,3323,4,1644703219
8065,1770,5,1612487769
2392,593,4,1633701549
5179,1013,1,1659556045
3712,6300,5,1621445011
3672,3999,4,1611924127
4657,4767,1,1632130096
54,63,4,1649141353
2384,7791,3,1617316890
8186,3723,5,1645924961
9439,3735,5,1656541277
7098,7542,4,1658878397
4120,1578,1,1625482559
5252,5624,1,1658078370
5751,9378,4,1656284655
2940,2854,4,1649489752
2576,9887,1,1622625341
4071,9196,1,1616979924
5810,9793,3,1642700565
1779,1689,3,1662654595
698,8065,4,1671785957
1853,4672,1,1609999126
9725,9481,1,1643571125
9421,4991,4,1650950115
5663,6512,3,1645929618
3225,7568,2,1612537433
2158,8151,5,1628358735
9311,5413,2,1661095264
6699,6394,2,1656854427
5099,9178,5,1611018503
9705,7089,2,1669809985
4801,6300,4,1662585235
1116,322,1,1623901260
9496,485,4,1657441132
8951,2501,2,1615671149
6380,6659,5,1611453990
1154,1460,2,1670669479
2245,318,2,1651889513
13,3369,1,1646358739
9085,4773,2,1653082631
5992,2505,3,1629683875
4223,2302,2,1661169699
9472,2536,3,1651317493
2940,1877,2,1636303507
7225,2538,4,1630335899
6930,3536,1,1666779797
6118,1855,5,1625185427
265,9316,4,1653171835
1604,5817,5,1616495771
9621,8011,2,1643722467
6272,1575,1,1666638595
5587,796,3,1618608826
3440,9541,4,1627067957
8204,2637,5,1671728022
9361,8272,5,1654048156
299,983,2,1650497520
648,2360,1,1617834184
5853,3159,4,1649421211
9819,2682,4,1653117373
8649,3393,1,1621975381
2497,3633,5,1637584010
4920,6129,5,1641814980
6066,3320,4,1610456078
1164,1229,3,1660166772
999,7857,5,1645581207
9054,8955,4,1610024155
915,5178,2,1668428917
8624,3454,1,1642382562
4397,2382,1,1644736791
4790,3665,3,1664858310
4664,5047,3,1638427380
8232,6782,2,1610907863
5537,480,4,1669267089
8794,7108,3,1636308554
7277,4896,1,1638009596
7009,3670,3,1670287304
1499,9447,3,1646971118
4829,7182,4,1612441200
295,790,4,1650354655
1732,2081,1,1611381649
5350,285,2,1644308839
869,8690,1,1665454789
4679,2944,3,1645018995
7204,862,4,1644111163
5693,5709,2,1627946631
7683,4867,5,1628711994
1799,638,5,1645787860
50,9872,4,1637609091
6803,3171,4,1636591897
7467,4335,1,1630916500
5442,551,4,1619601746
1974,5345,2,1636989289
9443,1261,2,1629673757
7805,287,1,1645305830
3460,2986,5,1656380984
3325,4200,5,1663301152
3819,414,4,1651188788
8091,2874,5,1636751602
657,7051,3,1658840314
4694,8641,4,1671677651
9006,7945,4,1644911140
8628,3867,1,1637168100
3940,1317,5,1654686945
3427,8503,5,1630174465
9072,6569,5,1611239107
9219,5310,4,1617660793
7442,3202,1,1629263744
5296,1036,1,1614659199
37,9495,5,1666168197
8791,4386,5,1640912407
7987,8188,4,1658206275
1896,1216,4,1650012903
2886,1981,2,1620104003
6651,5546,1,1656865122
3995,8420,2,1633413982
2892,6017,1,1667159964
9369,6398,1,1639083945
5242,2143,3,1622592193
2201,628,2,1621939393
9524,8815,5,1611661464
8216,7048,1,1636572961
1632,3592,3,1630558388
6687,730,1,1619358262
40,7046,1,1650106127
702,6790,5,1627692440
8023,6007,4,1640098812
4879,6628,4,1638330052
3574,1301,3,1662208806
6457,8094,4,1659598249
2785,3102,2,1609676606
1643,3988,4,1649945848
573,7082,2,1609670951
1258,9138,5,1655069435
6838,982,3,1652681012
1152,9196,3,1652793748
577,8097,5,1621161279
7235,4374,5,1644710705
2985,5054,5,1666569019
1832,6123,1,1671942607
1982,5656,4,1636052147
3337,3921,4,1620181825
2431,1547,5,1630119057
1483,6212,2,1634713002
8595,2299,1,1636117318
7331,6879,5,1629486926
4016,3009,2,1640749010
3798,2845,5,1614024048
4141,5247,2,1625699864
9214,8512,1,1624583262
3681,6621,4,1657183306
6047,2647,5,1636360024
4245,2815,4,1639853439
4908,1190,3,1654942147
9080,6748,3,1658596385
7295,8099,4,1629927621
8071,8550,2,1623230477
5810,2431,2,1658131946
3616,9914,2,1651210277
3047,1993,5,1635226703
6661,910,2,1644653002
6344,9059,1,1672402740
8823,8129,4,1615199900
1527,7742,2,1664723343
1423,676,5,1643217992
4550,3835,5,1649986381
8811,3745,2,1616906499
6821,7188,2,1663445842
6637,9327,1,1631286634
7425,1317,4,1636053829
527,1915,4,1657821461
8412,7165,3,1635458297
9219,3669,3,1624472758
7480,6947,1,1665584237
5260,8214,5,1645429270
8115,4132,5,1619130743
1419,8100,5,1669535697
3472,4763,1,1627220847
5899,345,1,1657062722
9582,5533,2,1637695408
1538,64,2,1639675337
918,2745,4,1662884360
3773,2779,2,1621304898
8099,3085,2,1662205896
2349,3964,2,1628339341
2681,5334,1,1640241727
9751,8798,2,1614603770
3044,2824,3,1640379551
4456,5909,3,1630838371
8657,2071,5,1633492319
3618,5548,5,1633089665
9467,4627,1,1665438023
1568,886,2,1666773919
6284,8651,1,1670649862
3633,2184,2,1654232873
408,6549,5,1644008802
2020,4031,3,1622054848
731,9041,4,1648517430
2583,4012,4,1650112749
5972,1058,5,1650829684
7229,5901,5,1646329830
6430,5282,3,1651328006
5314,8369,1,1634341777
3827,163,4,1665018012
4740,6115,1,1631338816
6260,3973,2,1626893253
7289,7937,1,1626965545
9065,3486,5,1665159752
3,1382,3,1650809281
3906,8237,2,1666200686
6229,2246,2,1637120494
1091,9114,4,1645787657
2229,4694,3,1631708589
1092,6099,2,1662700775
5049,5743,4,1632396745
8663,634,5,1621627307
3101,3467,2,1625455399
4075,8871,5,1611624045
6540,8809,1,1642580125
4724,296,1,1626828830
9675,7070,2,1648324877
9655,3680,5,1610711401
358,925,4,1629070425
884,1670,2,1645851901
1299,4318,1,1611210406
839,2403,3,1613350254
9049,898,2,1664959223
7578,8043,1,1617721369
9955,2203,3,1644037415
4754,8506,5,1651453021
7042,9875,2,1630018769
6145,5355,1,1633689370
9412,8525,1,1633178656
903,9283,1,1657695910
4337,3157,1,1665700029
829,7197,2,1613247461
9780,7171,4,1619540746
6588,8150,2,1619838049
3383,1633,2,1669294223
5651,8810,1,1638654343
5867,4931,5,1613997093
6526,7484,2,1635968599
8416,9646,1,1652741523
5836,2493,3,1665807968
4875,8917,5,1617431002
5285,1695,4,1671174764
4617,6290,3,1623616379
3114,872,1,1615794466
6457,5141,4,1650766522
9741,6721,2,1647272483
6155,3278,1,1654972537
9832,6950,5,1622818387
3611,1302,1,1626089232
826,6934,2,1616244565
8587,1094,1,1632331296
1538,8273,5,1642070454
7684,2601,1,1627399627
7263,3449,5,1672264877
4416,1695,4,1618628891
7280,5177,3,1631615354
4814,8685,4,1635434726
9913,216,3,1610445414
9061,6855,1,1630768913
371,6696,3,1623455439
9211,8569,5,1634285547
4429,9577,1,1666592880
5593,6078,5,1629936264
3266,4235,3,1627264470
5479,1005,1,1629993371
391,9198,2,1659972173
1117,7238,2,1663304028
6258,354,1,1628500563
8344,5742,1,1645628461
7165,7006,1,1617189271
5850,2410,3,1634085251
3862,9554,4,1611801688
8967,2197,4,1609951846
6138,8610,3,1625435629
76,2688,4,1665099359
5558,4636,2,1657111321
3098,5358,4,1618987267
9941,7484,1,1655015356
3598,1551,3,1621814092
9313,9162,5,1643597111
479,7208,4,1652889136
